0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/site/public/dist/index.bundle.js HTTP/1.1 200 1251729 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.466
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:04 -0500] GET /store HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.010
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/admin/login.jsp HTTP/1.1 200 3713 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 2.351
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/admin/css/global.css HTTP/1.1 200 5311 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.010
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/styles/css/main.css HTTP/1.1 200 1240 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.135
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/dialog/css/dialog.css HTTP/1.1 200 556 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.216
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/dialog/css/jqueryui/jqueryui-themeroller.css HTTP/1.1 200 4020 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.269
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/admin/css/carbonFormStyles.css HTTP/1.1 200 2050 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.139
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/admin/js/jquery-1.6.3.min.js HTTP/1.1 200 32564 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.149
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:06 -0500] GET /carbon/dialog/js/dialog.js HTTP/1.1 200 2644 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.023
